CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
4/25/2024,East Brunswick,894,13,593,288,36,0.125
4/25/2024,Hazlet,650,0,426,224,41,0.183036
4/25/2024,Marlboro,298,0,203,95,10,0.105263
4/25/2024,Monmouth Junction,500,10,300,190,47,0.247368
4/25/2024,Oakhurst,237,0,110,127,14,0.110236
4/25/2024,Piscataway,490,12,333,145,40,0.275862
4/25/2024,Roselle,1214,3,832,379,54,0.14248
4/25/2024,Scotch Plains,174,0,89,85,22,0.258824
4/25/2024,Summit,654,5,429,220,21,0.095455
4/25/2024,Tices Lane,428,3,262,163,10,0.06135
4/25/2024,Westfield,706,17,452,237,36,0.151899
4/25/2024,Woodbridge,616,21,447,148,8,0.054054
4/26/2024,East Brunswick,1130,4,683,443,94,0.21219
4/26/2024,Hazlet,757,0,444,313,94,0.300319
4/26/2024,Marlboro,409,0,226,183,49,0.26776
4/26/2024,Monmouth Junction,628,3,369,256,66,0.257813
4/26/2024,Oakhurst,336,0,151,185,24,0.12973
4/26/2024,Piscataway,663,5,443,215,52,0.24186
4/26/2024,Roselle,1215,3,730,482,87,0.180498
4/26/2024,Scotch Plains,229,0,94,135,60,0.444444
4/26/2024,Summit,780,3,413,364,72,0.197802
4/26/2024,Tices Lane,855,0,469,386,69,0.178756
4/26/2024,Westfield,839,12,499,328,86,0.262195
4/26/2024,Woodbridge,623,13,401,209,56,0.267943
4/27/2024,East Brunswick,1021,3,592,426,64,0.150235
4/27/2024,Hazlet,777,0,450,327,75,0.229358
4/27/2024,Marlboro,416,0,240,176,29,0.164773
4/27/2024,Monmouth Junction,265,0,170,95,33,0.347368
4/27/2024,Oakhurst,306,1,138,167,30,0.179641
4/27/2024,Piscataway,570,9,350,211,50,0.236967
4/27/2024,Roselle,1160,0,646,514,74,0.143969
4/27/2024,Scotch Plains,289,0,135,154,57,0.37013
4/27/2024,Summit,743,1,411,331,52,0.1571
4/27/2024,Tices Lane,859,0,485,374,45,0.120321
4/27/2024,Westfield,702,10,384,308,81,0.262987
4/27/2024,Woodbridge,625,5,397,223,40,0.179372
