CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
1/1/2023,East Brunswick,444,24,214,206,23,0.11165
1/1/2023,Hazlet,0,0,0,0,0,0
1/1/2023,Monmouth Junction,221,4,116,101,4,0.039604
1/1/2023,Oakhurst,141,6,37,98,3,0.030612
1/1/2023,Piscataway,267,1,158,108,18,0.166667
1/1/2023,Roselle,347,24,152,171,24,0.140351
1/1/2023,Summit,281,2,138,141,24,0.170213
1/1/2023,Tices Lane,0,0,0,0,0,0
1/1/2023,Westfield,246,5,133,108,9,0.083333
1/1/2023,Woodbridge,335,14,214,107,6,0.056075
1/2/2023,East Brunswick,505,46,216,243,39,0.160494
1/2/2023,Monmouth Junction,329,8,150,171,7,0.040936
1/2/2023,Oakhurst,175,16,58,101,5,0.049505
1/2/2023,Piscataway,310,2,208,100,15,0.15
1/2/2023,Roselle,447,56,223,168,54,0.321429
1/2/2023,Summit,497,1,236,260,35,0.134615
1/2/2023,Westfield,423,10,224,189,19,0.100529
1/2/2023,Woodbridge,474,10,336,128,9,0.070313
1/3/2023,East Brunswick,12,1,8,3,0,0
1/3/2023,Monmouth Junction,7,0,4,3,0,0
1/3/2023,Oakhurst,0,0,0,0,0,0
1/3/2023,Piscataway,0,0,0,0,0,0
1/3/2023,Roselle,0,0,0,0,0,0
1/3/2023,Summit,0,0,0,0,0,0
1/3/2023,Westfield,17,0,7,10,0,0
1/3/2023,Woodbridge,0,0,0,0,0,0
1/4/2023,East Brunswick,250,15,125,110,11,0.1
1/4/2023,Monmouth Junction,122,8,65,49,8,0.163265
1/4/2023,Oakhurst,0,0,0,0,0,0
1/4/2023,Piscataway,183,8,130,45,4,0.088889
1/4/2023,Roselle,268,30,159,79,28,0.35443
1/4/2023,Summit,284,2,180,102,7,0.068627
1/4/2023,Westfield,200,8,129,63,10,0.15873
1/4/2023,Woodbridge,349,25,248,76,8,0.105263
1/5/2023,East Brunswick,248,21,135,92,17,0.184783
