CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
4/22/2023,East Brunswick,949,6,501,442,79,0.178733
4/22/2023,Hazlet,633,0,305,328,35,0.106707
4/22/2023,Monmouth Junction,543,5,249,289,26,0.089965
4/22/2023,Oakhurst,360,32,127,201,32,0.159204
4/22/2023,Piscataway,482,7,323,152,35,0.230263
4/22/2023,Roselle,936,1,475,460,85,0.184783
4/22/2023,Summit,644,0,356,288,32,0.111111
4/22/2023,Tices Lane,697,0,268,429,80,0.18648
4/22/2023,Westfield,692,8,375,309,36,0.116505
4/22/2023,Woodbridge,575,14,365,196,11,0.056122
4/23/2023,East Brunswick,561,2,325,234,34,0.145299
4/23/2023,Hazlet,267,0,130,137,17,0.124088
4/23/2023,Monmouth Junction,307,0,168,139,27,0.194245
4/23/2023,Oakhurst,118,0,58,60,9,0.15
4/23/2023,Piscataway,243,2,173,68,12,0.176471
4/23/2023,Roselle,380,0,244,136,14,0.102941
4/23/2023,Summit,301,0,197,104,4,0.038462
4/23/2023,Tices Lane,380,0,178,202,32,0.158416
4/23/2023,Westfield,352,2,207,143,10,0.06993
4/23/2023,Woodbridge,251,3,177,71,2,0.028169
4/24/2023,East Brunswick,560,9,387,164,16,0.097561
4/24/2023,Hazlet,330,0,202,128,6,0.046875
4/24/2023,Monmouth Junction,289,4,187,98,8,0.081633
4/24/2023,Oakhurst,222,48,97,77,13,0.168831
4/24/2023,Piscataway,300,6,242,52,14,0.269231
4/24/2023,Roselle,528,2,384,142,17,0.119718
4/24/2023,Summit,520,4,344,172,13,0.075581
4/24/2023,Tices Lane,316,0,196,120,29,0.241667
4/24/2023,Westfield,423,7,306,110,13,0.118182
4/24/2023,Woodbridge,556,20,423,113,8,0.070796
4/25/2023,East Brunswick,430,9,291,130,25,0.192308
4/25/2023,Hazlet,289,0,201,88,11,0.125
4/25/2023,Monmouth Junction,224,3,156,65,14,0.215385
4/25/2023,Oakhurst,196,46,90,60,7,0.116667
4/25/2023,Piscataway,254,7,187,60,6,0.1
4/25/2023,Roselle,440,3,310,127,31,0.244094
4/25/2023,Summit,398,0,282,116,18,0.155172
4/25/2023,Tices Lane,264,0,173,91,32,0.351648
4/25/2023,Westfield,306,11,204,91,13,0.142857
4/25/2023,Woodbridge,425,28,313,84,7,0.083333
4/26/2023,East Brunswick,417,15,287,115,24,0.208696
4/26/2023,Hazlet,250,0,168,82,8,0.097561
4/26/2023,Monmouth Junction,186,3,128,55,9,0.163636
4/26/2023,Oakhurst,193,57,71,65,11,0.169231
4/26/2023,Piscataway,205,5,155,45,5,0.111111
4/26/2023,Roselle,486,1,358,127,14,0.110236
4/26/2023,Summit,344,1,243,100,4,0.04
4/26/2023,Tices Lane,249,0,170,79,9,0.113924
4/26/2023,Westfield,289,9,209,71,7,0.098592
4/26/2023,Woodbridge,147,12,108,27,3,0.111111
4/27/2023,East Brunswick,310,15,209,86,8,0.093023
4/27/2023,Hazlet,108,0,88,20,5,0.25
4/27/2023,Monmouth Junction,159,0,116,43,13,0.302326
4/27/2023,Oakhurst,118,45,41,32,2,0.0625
4/27/2023,Piscataway,188,9,138,41,4,0.097561
4/27/2023,Roselle,398,2,294,102,10,0.098039
4/27/2023,Summit,367,3,244,120,9,0.075
4/27/2023,Tices Lane,196,0,140,56,20,0.357143
4/27/2023,Westfield,260,7,173,80,11,0.1375
4/27/2023,Woodbridge,307,21,225,61,3,0.04918
4/28/2023,East Brunswick,201,5,153,43,4,0.093023
4/28/2023,Hazlet,111,0,89,22,1,0.045455
4/28/2023,Monmouth Junction,118,0,83,35,2,0.057143
4/28/2023,Oakhurst,74,24,34,16,7,0.4375
4/28/2023,Piscataway,130,3,104,23,4,0.173913
4/28/2023,Roselle,398,3,287,108,9,0.083333
4/28/2023,Summit,317,4,202,111,9,0.081081
4/28/2023,Tices Lane,103,0,78,25,11,0.44
4/28/2023,Westfield,223,10,152,61,5,0.081967
4/28/2023,Woodbridge,270,21,192,57,1,0.017544
4/29/2023,East Brunswick,0,0,0,0,0,0
4/29/2023,Hazlet,0,0,0,0,0,0
4/29/2023,Oakhurst,0,0,0,0,0,0
4/29/2023,Piscataway,0,0,0,0,0,0
4/29/2023,Roselle,0,0,0,0,0,0
4/29/2023,Summit,0,0,0,0,0,0
4/29/2023,Westfield,2,0,0,2,0,0
4/29/2023,Woodbridge,0,0,0,0,0,0
4/30/2023,East Brunswick,9,1,8,0,0,0
4/30/2023,Hazlet,6,0,5,1,0,0
4/30/2023,Monmouth Junction,7,0,4,3,0,0
4/30/2023,Piscataway,0,0,0,0,0,0
4/30/2023,Roselle,28,0,19,9,0,0
4/30/2023,Tices Lane,13,0,13,0,0,0
4/30/2023,Westfield,4,0,1,3,0,0
4/30/2023,Woodbridge,0,0,0,0,0,0
5/1/2023,East Brunswick,633,10,487,136,12,0.088235
5/1/2023,Hazlet,346,0,270,76,11,0.144737
5/1/2023,Monmouth Junction,271,2,212,57,14,0.245614
5/1/2023,Oakhurst,207,49,125,33,3,0.090909
5/1/2023,Piscataway,338,8,269,61,10,0.163934
5/1/2023,Roselle,578,2,469,107,14,0.130841
5/1/2023,Summit,472,2,358,112,5,0.044643
5/1/2023,Tices Lane,315,0,239,76,15,0.197368
