CREATED DATE,LOCATION,TOTAL_WASHES,FREE_WASHES,REDEEMED_WASHES,ELIGIBLE_WASHES,SALES,Conversions
1/8/2024,East Brunswick,500,8,384,108,13,0.12037
1/8/2024,Hazlet,298,0,227,71,13,0.183099
1/8/2024,Marlboro,138,0,109,29,7,0.241379
1/8/2024,Monmouth Junction,251,3,197,51,2,0.039216
1/8/2024,Oakhurst,160,0,85,75,11,0.146667
1/8/2024,Piscataway,269,9,201,59,21,0.355932
1/8/2024,Roselle,582,2,457,123,19,0.154472
1/8/2024,Summit,356,2,280,74,15,0.202703
1/8/2024,Tices Lane,393,1,281,111,26,0.234234
1/8/2024,Westfield,342,4,261,77,17,0.220779
1/8/2024,Woodbridge,445,21,364,60,4,0.066667
1/9/2024,East Brunswick,40,0,30,10,1,0.1
1/9/2024,Hazlet,25,0,24,1,0,0
1/9/2024,Marlboro,13,0,12,1,1,1
1/9/2024,Monmouth Junction,23,0,19,4,0,0
1/9/2024,Oakhurst,25,0,10,15,2,0.133333
1/9/2024,Piscataway,20,2,14,4,2,0.5
1/9/2024,Roselle,60,0,56,4,0,0
1/9/2024,Summit,51,0,34,17,3,0.176471
1/9/2024,Tices Lane,28,0,24,4,0,0
1/9/2024,Westfield,26,1,17,8,0,0
1/9/2024,Woodbridge,40,0,36,4,1,0.25
1/10/2024,East Brunswick,297,3,242,52,6,0.115385
1/10/2024,Hazlet,204,0,160,44,3,0.068182
1/10/2024,Marlboro,96,0,72,24,5,0.208333
1/10/2024,Monmouth Junction,166,2,133,31,6,0.193548
1/10/2024,Oakhurst,118,0,67,51,11,0.215686
1/10/2024,Piscataway,184,3,141,40,9,0.225
1/10/2024,Roselle,323,3,249,71,9,0.126761
1/10/2024,Summit,261,1,200,60,6,0.1
1/10/2024,Tices Lane,218,0,170,48,10,0.208333
1/10/2024,Westfield,168,3,123,42,7,0.166667
1/10/2024,Woodbridge,293,10,248,35,3,0.085714
1/11/2024,East Brunswick,407,3,327,77,8,0.103896
1/11/2024,Hazlet,277,0,214,63,6,0.095238
1/11/2024,Marlboro,137,0,104,33,8,0.242424
1/11/2024,Monmouth Junction,214,1,151,62,8,0.129032
1/11/2024,Oakhurst,156,0,79,77,9,0.116883
1/11/2024,Piscataway,251,2,211,38,5,0.131579
